N,position,successors,rep,settleMs,hoverMs,hoverResolved
40,0,39,1,242,16,true
40,0,39,2,249,12,true
40,0,39,3,243,9,true
40,10,29,1,176,15,true
40,10,29,2,158,15,true
40,10,29,3,172,6,true
40,20,19,1,126,6,true
40,20,19,2,132,16,true
40,20,19,3,114,14,true
40,30,9,1,63,15,true
40,30,9,2,63,16,true
40,30,9,3,59,14,true
40,39,0,1,6,15,true
40,39,0,2,6,15,true
40,39,0,3,7,15,true
